beat_index,RR_prev(s),RR_next(s),QRS_duration(s),R_amp,QRS_max,QRS_min,record_id,RR_prev(s),RR_next(s),QRS_duration(s),R_amp,QRS_max,QRS_min
127,0.8639,0.8306,0.1,0.6835,0.6835,0.4132,100,,,,,,
128,0.8306,0.7889,0.1,0.6639,0.6639,0.4155,100,,,,,,
129,0.7889,0.7861,0.1,0.6571,0.6571,0.417,100,,,,,,
130,0.7861,0.8028,0.1,0.6734,0.6734,0.418,100,,,,,,
131,0.8028,0.7917,0.1,0.6755,0.6755,0.416,100,,,,,,
132,0.7917,0.8194,0.1,0.658,0.658,0.415,100,,,,,,
133,0.8194,0.8306,0.1,0.674,0.674,0.4153,100,,,,,,
134,0.8306,0.8389,0.1,0.6697,0.6697,0.4163,100,,,,,,
135,0.8389,0.8194,0.1,0.6703,0.6703,0.4119,100,,,,,,
136,0.8194,0.7722,0.1,0.6542,0.6547,0.4189,100,,,,,,
137,0.7722,0.7528,0.1,0.6564,0.6564,0.4116,100,,,,,,
138,0.7528,0.7944,0.1,0.6686,0.6686,0.4198,100,,,,,,
139,0.7944,0.8194,0.1,0.6648,0.6648,0.4155,100,,,,,,
140,0.8194,0.8139,0.1,0.6554,0.6554,0.4151,100,,,,,,
141,0.8139,0.8361,0.1,0.6645,0.6645,0.4149,100,,,,,,
142,0.8361,0.8222,0.1,0.6884,0.6927,0.414,100,,,,,,
143,0.8222,0.7833,0.1,0.6565,0.6565,0.4169,100,,,,,,
144,0.7833,0.7444,0.1,0.6578,0.6578,0.4168,100,,,,,,
145,0.7444,0.8306,0.1,0.6684,0.6684,0.4191,100,,,,,,
146,0.8306,0.7806,0.1,0.6992,0.6992,0.4146,100,,,,,,
147,0.7806,0.8306,0.1,0.6927,0.6927,0.4149,100,,,,,,
148,0.8306,0.8639,0.1,0.6728,0.6728,0.4184,100,,,,,,
149,0.8639,0.8222,0.1,0.6775,0.6775,0.4176,100,,,,,,
150,0.8222,0.8028,0.1,0.6663,0.6676,0.4157,100,,,,,,
151,0.8028,0.7778,0.1,0.6787,0.6787,0.4145,100,,,,,,
152,0.7778,0.7861,0.1,0.6576,0.6576,0.4166,100,,,,,,
153,0.7861,0.8,0.1,0.6778,0.6809,0.4123,100,,,,,,
154,0.8,0.7972,0.1,0.672,0.672,0.4164,100,,,,,,
155,0.7972,0.8139,0.1,0.6593,0.6593,0.4182,100,,,,,,
156,0.8139,0.8472,0.1,0.6624,0.6624,0.416,100,,,,,,
157,0.8472,0.825,0.1,0.6779,0.6779,0.4183,100,,,,,,
158,0.825,0.775,0.1,0.6453,0.6492,0.4164,100,,,,,,
159,0.775,0.7611,0.1,0.6567,0.6567,0.4086,100,,,,,,
160,0.7611,0.7806,0.1,0.69,0.69,0.4186,100,,,,,,
161,0.7806,0.7722,0.1,0.6427,0.6427,0.416,100,,,,,,
162,0.7722,0.825,0.1,0.6589,0.6589,0.4161,100,,,,,,
163,0.825,0.8278,0.1,0.6651,0.6651,0.4189,100,,,,,,
164,0.8278,0.7972,0.1,0.6926,0.6926,0.4148,100,,,,,,
165,0.7972,0.7861,0.1,0.6771,0.6782,0.4184,100,,,,,,
166,0.7861,0.7889,0.1,0.6568,0.6568,0.4192,100,,,,,,
167,0.7889,0.7778,0.1,0.6601,0.6601,0.4146,100,,,,,,
168,0.7778,0.7611,0.1,0.6691,0.6691,0.4169,100,,,,,,
169,0.7611,0.7861,0.1,0.6652,0.6652,0.4196,100,,,,,,
170,0.7861,0.8194,0.1,0.6709,0.6709,0.4189,100,,,,,,
171,0.8194,0.8472,0.1,0.6759,0.6759,0.4185,100,,,,,,
172,0.8472,0.8083,0.1,0.6708,0.6708,0.4152,100,,,,,,
173,0.8083,0.7694,0.1,0.6699,0.6699,0.4166,100,,,,,,
174,0.7694,0.7778,0.1,0.6577,0.6577,0.4163,100,,,,,,
175,0.7778,0.7917,0.1,0.6774,0.6774,0.4189,100,,,,,,
176,0.7917,0.7861,0.1,0.661,0.661,0.4141,100,,,,,,
177,0.7861,0.7972,0.1,0.6601,0.6601,0.4161,100,,,,,,
178,0.7972,0.8194,0.1,0.6653,0.6653,0.4167,100,,,,,,
179,0.8194,0.8194,0.1,0.6789,0.6789,0.4196,100,,,,,,
180,0.8194,0.8056,0.1,0.6638,0.6638,0.4151,100,,,,,,
181,0.8056,0.7722,0.1,0.6497,0.6497,0.4172,100,,,,,,
182,0.7722,0.775,0.1,0.6575,0.6575,0.4162,100,,,,,,
183,0.775,0.7722,0.1,0.6664,0.6664,0.4189,100,,,,,,
184,0.7722,0.8056,0.1,0.651,0.651,0.4171,100,,,,,,
185,0.8056,0.8111,0.1,0.6583,0.6583,0.4174,100,,,,,,
186,0.8111,0.8222,0.1,0.667,0.667,0.421,100,,,,,,
187,0.8222,0.8,0.1,0.6678,0.6678,0.4218,100,,,,,,
188,0.8,0.7694,0.1,0.6529,0.6529,0.4208,100,,,,,,
189,0.7694,0.7778,0.1,0.6616,0.6616,0.4196,100,,,,,,
190,0.7778,0.775,0.1,0.6638,0.6638,0.421,100,,,,,,
191,0.775,0.7833,0.1,0.6601,0.6601,0.4207,100,,,,,,
192,0.7833,0.7861,0.1,0.6795,0.6795,0.4211,100,,,,,,
193,0.7861,0.8306,0.1,0.6513,0.6513,0.4193,100,,,,,,
194,0.8306,0.8194,0.1,0.6681,0.6681,0.4201,100,,,,,,
195,0.8194,0.7833,0.1,0.6703,0.6703,0.4192,100,,,,,,
196,0.7833,0.7528,0.1,0.6858,0.6897,0.421,100,,,,,,
197,0.7528,0.7722,0.1,0.6549,0.6549,0.4197,100,,,,,,
198,0.7722,0.7833,0.1,0.6808,0.6808,0.4212,100,,,,,,
199,0.7833,0.7917,0.1,0.6568,0.6568,0.4108,100,,,,,,
200,0.7917,0.8111,0.1,0.6821,0.6821,0.4194,100,,,,,,
201,0.8111,0.8278,0.1,0.6661,0.6661,0.4189,100,,,,,,
202,0.8278,0.8278,0.1,0.6679,0.6679,0.4225,100,,,,,,
203,0.8278,0.8028,0.1,0.6573,0.6573,0.4222,100,,,,,,
204,0.8028,0.7694,0.1,0.6509,0.6509,0.4202,100,,,,,,
205,0.7694,0.7694,0.1,0.6611,0.6611,0.4242,100,,,,,,
206,0.7694,0.8,0.1,0.6632,0.6632,0.4197,100,,,,,,
207,0.8,0.8194,0.1,0.6428,0.6439,0.4155,100,,,,,,
208,0.8194,0.8361,0.1,0.6766,0.6766,0.4195,100,,,,,,
209,0.8361,0.8389,0.1,0.6844,0.6908,0.4196,100,,,,,,
210,0.8389,0.8,0.1,0.6624,0.6629,0.4212,100,,,,,,
211,0.8,0.7944,0.1,0.646,0.646,0.4212,100,,,,,,
212,0.7944,0.8028,0.1,0.6506,0.6506,0.4227,100,,,,,,
213,0.8028,0.7861,0.1,0.6609,0.6609,0.4201,100,,,,,,
214,0.7861,0.7889,0.1,0.6702,0.6722,0.4182,100,,,,,,
215,0.7889,0.8333,0.1,0.6634,0.6634,0.4224,100,,,,,,
216,0.8333,0.8472,0.1,0.6699,0.6699,0.421,100,,,,,,
217,0.8472,0.8389,0.1,0.6638,0.6638,0.4184,100,,,,,,
218,0.8389,0.7889,0.1,0.6904,0.6922,0.4183,100,,,,,,
219,0.7889,0.7583,0.1,0.6409,0.6409,0.417,100,,,,,,
220,0.7583,0.7972,0.1,0.6494,0.6494,0.4202,100,,,,,,
221,0.7972,0.8056,0.1,0.6689,0.6689,0.4192,100,,,,,,
222,0.8056,0.8139,0.1,0.6486,0.6486,0.4177,100,,,,,,
223,0.8139,0.8194,0.1,0.6629,0.6629,0.4118,100,,,,,,
224,0.8194,0.8278,0.1,0.6683,0.6683,0.4192,100,,,,,,
225,0.8278,0.8056,0.1,0.6578,0.6578,0.418,100,,,,,,
226,0.8056,0.7944,0.1,0.649,0.649,0.4174,100,,,,,,
227,0.7944,0.7778,0.1,0.6553,0.6553,0.4205,100,,,,,,
228,0.7778,0.7694,0.1,0.7026,0.7043,0.4216,100,,,,,,
229,0.7694,0.825,0.1,0.6682,0.6682,0.4166,100,,,,,,
230,0.825,0.5222,0.1,0.6523,0.6523,0.4165,100,,,,,,
231,0.5222,0.9389,0.1,0.6875,0.6875,0.4321,100,,,,,,
232,0.9389,0.8444,0.1,0.6647,0.6647,0.4225,100,,,,,,
233,0.8444,0.8167,0.1,0.6844,0.6844,0.4152,100,,,,,,
234,0.8167,0.775,0.1,0.6633,0.6633,0.413,100,,,,,,
235,0.775,0.8194,0.1,0.6643,0.6643,0.4176,100,,,,,,
236,0.8194,0.8111,0.1,0.6785,0.6785,0.4217,100,,,,,,
237,0.8111,0.8111,0.1,0.6643,0.6643,0.4118,100,,,,,,
238,0.8111,0.8472,0.1,0.6584,0.6584,0.4194,100,,,,,,
239,0.8472,0.8667,0.1,0.6641,0.6641,0.4219,100,,,,,,
240,0.8667,0.8139,0.1,0.6865,0.6909,0.4148,100,,,,,,
241,0.8139,0.7694,0.1,0.6559,0.6559,0.4183,100,,,,,,
242,0.7694,0.7889,0.1,0.6583,0.6583,0.4175,100,,,,,,
243,0.7889,0.7944,0.1,0.6657,0.6657,0.4182,100,,,,,,
244,0.7944,0.8278,0.1,0.6632,0.6646,0.4146,100,,,,,,
245,0.8278,0.8306,0.1,0.6545,0.6545,0.4178,100,,,,,,
246,0.8306,0.8306,0.1,0.6627,0.6627,0.417,100,,,,,,
247,0.8306,0.85,0.1,0.6709,0.6727,0.4186,100,,,,,,
248,0.85,0.8139,0.1,0.6717,0.674,0.4158,100,,,,,,
249,0.8139,0.775,0.1,0.6503,0.6503,0.4156,100,,,,,,
250,0.775,0.7944,0.1,0.6583,0.6583,0.4166,100,,,,,,
251,0.7944,0.8194,0.1,0.697,0.697,0.4189,100,,,,,,
252,0.8194,0.8417,0.1,0.659,0.659,0.4137,100,,,,,,
253,0.8417,0.8611,0.1,0.6581,0.6581,0.4163,100,,,,,,
254,0.8611,0.8333,0.1,0.6612,0.6637,0.4154,100,,,,,,
255,0.8333,0.7917,0.1,0.6909,0.6976,0.4064,100,,,,,,
256,0.7917,0.7972,0.1,0.6631,0.6631,0.4152,100,,,,,,
257,0.7972,0.7889,0.1,0.6555,0.6555,0.4164,100,,,,,,
258,0.7889,0.6083,0.1,0.6655,0.6655,0.4164,100,,,,,,
259,0.6083,0.9611,0.1,0.6813,0.6813,0.4129,100,,,,,,
260,0.9611,0.8333,0.1,0.6639,0.6639,0.4219,100,,,,,,
261,0.8333,0.8389,0.1,0.6586,0.6586,0.4164,100,,,,,,
262,0.8389,0.8306,0.1,0.6828,0.6878,0.4201,100,,,,,,
263,0.8306,0.7833,0.1,0.6707,0.6707,0.4133,100,,,,,,
264,0.7833,0.75,0.1,0.6571,0.6571,0.4171,100,,,,,,
265,0.75,0.8028,0.1,0.6578,0.6578,0.4168,100,,,,,,
266,0.8028,0.8111,0.1,0.6755,0.6755,0.4194,100,,,,,,
267,0.8111,0.825,0.1,0.6877,0.6919,0.4179,100,,,,,,
268,0.825,0.8083,0.1,0.6501,0.6501,0.4178,100,,,,,,
269,0.8083,0.825,0.1,0.6642,0.6642,0.4171,100,,,,,,
270,0.825,0.8,0.1,0.6784,0.6784,0.4189,100,,,,,,
271,0.8,0.7917,0.1,0.6668,0.6668,0.4142,100,,,,,,
272,0.7917,0.7667,0.1,0.6843,0.6843,0.4179,100,,,,,,
273,0.7667,0.7944,0.1,0.6626,0.6626,0.4178,100,,,,,,
274,0.7944,0.8417,0.1,0.6765,0.6765,0.4188,100,,,,,,
275,0.8417,0.8389,0.1,0.6661,0.6661,0.4153,100,,,,,,
276,0.8389,0.8306,0.1,0.6566,0.6566,0.4165,100,,,,,,
277,0.8306,0.8139,0.1,0.6648,0.6648,0.4169,100,,,,,,
278,0.8139,0.7917,0.1,0.6705,0.6705,0.4186,100,,,,,,
279,0.7917,0.7889,0.1,0.6534,0.6534,0.4169,100,,,,,,
280,0.7889,0.7972,0.1,0.6931,0.6931,0.4178,100,,,,,,
281,0.7972,0.8083,0.1,0.6985,0.6985,0.4195,100,,,,,,
282,0.8083,0.8333,0.1,0.682,0.682,0.4167,100,,,,,,
283,0.8333,0.8472,0.1,0.6552,0.6552,0.4177,100,,,,,,
284,0.8472,0.8361,0.1,0.6919,0.6919,0.4158,100,,,,,,
285,0.8361,0.8083,0.1,0.6728,0.6728,0.4206,100,,,,,,
286,0.8083,0.7833,0.1,0.6745,0.6745,0.4157,100,,,,,,
287,0.7833,0.7861,0.1,0.6496,0.6496,0.4192,100,,,,,,
288,0.7861,0.8389,0.1,0.663,0.663,0.4153,100,,,,,,
289,0.8389,0.8583,0.1,0.6771,0.6771,0.4199,100,,,,,,
290,0.8583,0.8444,0.1,0.6581,0.659,0.4106,100,,,,,,
291,0.8444,0.8389,0.1,0.6573,0.6573,0.419,100,,,,,,
292,0.8389,0.8361,0.1,0.6708,0.6708,0.4125,100,,,,,,
293,0.8361,0.8139,0.1,0.6687,0.6687,0.4175,100,,,,,,
294,0.8139,0.7694,0.1,0.6535,0.6535,0.4066,100,,,,,,
295,0.7694,0.8056,0.1,0.6613,0.6613,0.4179,100,,,,,,
296,0.8056,0.8361,0.1,0.6701,0.6701,0.4174,100,,,,,,
297,0.8361,0.8528,0.1,0.6571,0.6571,0.417,100,,,,,,
298,0.8528,0.8389,0.1,0.655,0.655,0.4166,100,,,,,,
299,0.8389,0.8306,0.1,0.6794,0.6794,0.4168,100,,,,,,
300,0.8306,0.7917,0.1,0.7207,0.7207,0.4169,100,,,,,,
301,0.7917,0.8,0.1,0.6611,0.6611,0.4167,100,,,,,,
302,0.8,0.8028,0.1,0.6667,0.6667,0.4149,100,,,,,,
303,0.8028,0.8083,0.1,0.6811,0.6811,0.4192,100,,,,,,
304,0.8083,0.8278,0.1,0.6651,0.6651,0.4167,100,,,,,,
305,0.8278,0.8444,0.1,0.6622,0.6622,0.4161,100,,,,,,
306,0.8444,0.8361,0.1,0.6699,0.6699,0.4135,100,,,,,,
307,0.8361,0.7944,0.1,0.6808,0.6856,0.416,100,,,,,,
308,0.7944,0.7833,0.1,0.6524,0.6524,0.4167,100,,,,,,
309,0.7833,0.7917,0.1,0.6606,0.6606,0.4178,100,,,,,,
310,0.7917,0.8278,0.1,0.6759,0.6759,0.4142,100,,,,,,
311,0.8278,0.8444,0.1,0.6643,0.6643,0.415,100,,,,,,
312,0.8444,0.8194,0.1,0.657,0.657,0.4186,100,,,,,,
313,0.8194,0.8472,0.1,0.6688,0.6688,0.4204,100,,,,,,
314,0.8472,0.8083,0.1,0.6714,0.6714,0.4161,100,,,,,,
315,0.8083,0.7778,0.1,0.6625,0.6625,0.4154,100,,,,,,
316,0.7778,0.7917,0.1,0.6561,0.6561,0.4175,100,,,,,,
317,0.7917,0.8111,0.1,0.6987,0.7009,0.4175,100,,,,,,
318,0.8111,0.8194,0.1,0.6649,0.6649,0.4115,100,,,,,,
319,0.8194,0.8639,0.1,0.6717,0.6717,0.4144,100,,,,,,
320,0.8639,0.8389,0.1,0.6582,0.66,0.4181,100,,,,,,
321,0.8389,0.8,0.1,0.6732,0.6732,0.4188,100,,,,,,
322,0.8,0.8056,0.1,0.664,0.664,0.4163,100,,,,,,
323,0.8056,0.7722,0.1,0.6481,0.6481,0.411,100,,,,,,
324,0.7722,0.8139,0.1,0.655,0.6561,0.4187,100,,,,,,
325,0.8139,0.8278,0.1,0.7167,0.7167,0.4205,100,,,,,,
326,0.8278,0.8417,0.1,0.6565,0.6565,0.4135,100,,,,,,
327,0.8417,0.8389,0.1,0.6812,0.6812,0.4182,100,,,,,,
328,0.8389,0.8556,0.1,0.6619,0.6619,0.4198,100,,,,,,
329,0.8556,0.7972,0.1,0.6788,0.6788,0.4168,100,,,,,,
330,0.7972,0.7722,0.1,0.6567,0.6567,0.4169,100,,,,,,
331,0.7722,0.775,0.1,0.6461,0.6462,0.4171,100,,,,,,
332,0.775,0.8222,0.1,0.6572,0.6572,0.4182,100,,,,,,
333,0.8222,0.8444,0.1,0.688,0.6887,0.4121,100,,,,,,
334,0.8444,0.8278,0.1,0.6505,0.6505,0.418,100,,,,,,
335,0.8278,0.8222,0.1,0.6512,0.6512,0.4211,100,,,,,,
336,0.8222,0.8111,0.1,0.6555,0.6566,0.4114,100,,,,,,
337,0.8111,0.8111,0.1,0.6688,0.6728,0.4171,100,,,,,,
338,0.8111,0.7778,0.1,0.65,0.65,0.4168,100,,,,,,
339,0.7778,0.7806,0.1,0.6536,0.6536,0.4196,100,,,,,,
340,0.7806,0.8194,0.1,0.6654,0.6654,0.4189,100,,,,,,
341,0.8194,0.8278,0.1,0.6933,0.6933,0.4173,100,,,,,,
342,0.8278,0.5472,0.1,0.6448,0.6448,0.4136,100,,,,,,
343,0.5472,0.975,0.1,0.6682,0.6686,0.4286,100,,,,,,
344,0.975,0.8,0.1,0.6631,0.6631,0.421,100,,,,,,
345,0.8,0.7722,0.1,0.6702,0.6702,0.4116,100,,,,,,
346,0.7722,0.7917,0.1,0.6541,0.6541,0.4166,100,,,,,,
347,0.7917,0.8056,0.1,0.655,0.655,0.416,100,,,,,,
348,0.8056,0.8056,0.1,0.6732,0.6732,0.4125,100,,,,,,
349,0.8056,0.8111,0.1,0.6968,0.6968,0.4183,100,,,,,,
350,0.8111,0.8,0.1,0.6537,0.6537,0.4179,100,,,,,,
351,0.8,0.8139,0.1,0.6702,0.6702,0.4192,100,,,,,,
352,0.8139,0.7833,0.1,0.6776,0.6776,0.4194,100,,,,,,
353,0.7833,0.7694,0.1,0.656,0.656,0.4172,100,,,,,,
354,0.7694,0.7806,0.1,0.6561,0.6561,0.4102,100,,,,,,
355,0.7806,0.825,0.1,0.6756,0.6756,0.4201,100,,,,,,
356,0.825,0.8278,0.1,0.6647,0.6647,0.4183,100,,,,,,
357,0.8278,0.8194,0.1,0.6593,0.6593,0.4182,100,,,,,,
358,0.8194,0.825,0.1,0.6726,0.6726,0.4092,100,,,,,,
