beat_index,RR_prev(s),RR_next(s),Heart_Rate(bpm),QRS_duration(s),R_amp,QRS_max,QRS_min
33,0.8056,0.775,74.4828,0.1,1.005,1.045,-0.605
34,0.775,0.8,77.4194,0.1,0.855,0.855,-0.605
35,0.8,0.7889,75.0,0.1,0.795,0.795,-0.655
36,0.7889,0.8583,76.0563,0.1,0.85,0.855,-0.62
37,0.8583,0.8417,69.9029,0.1,0.955,0.955,-0.66
38,0.8417,0.825,71.2871,0.1,0.835,0.855,-0.63
39,0.825,0.8028,72.7273,0.1,0.795,0.795,-0.645
40,0.8028,0.8361,74.7405,0.1,0.885,0.885,-0.625
41,0.8361,0.7917,71.7608,0.1,1.05,1.05,-0.6
42,0.7917,0.7889,75.7895,0.1,0.85,0.85,-0.615
43,0.7889,0.8194,76.0563,0.1,0.82,0.84,-0.67
44,0.8194,0.8444,73.2203,0.1,0.85,0.85,-0.64
45,0.8444,0.8806,71.0526,0.1,0.885,0.93,-0.65
46,0.8806,0.8222,68.1388,0.1,0.81,0.825,-0.695
47,0.8222,0.7778,72.973,0.1,0.835,0.835,-0.615
48,0.7778,0.8028,77.1429,0.1,0.93,0.93,-0.595
49,0.8028,0.8111,74.7405,0.1,0.925,0.925,-0.585
50,0.8111,0.7972,73.9726,0.1,0.77,0.77,-0.6
51,0.7972,0.8361,75.2613,0.1,0.735,0.77,-0.64
52,0.8361,0.8306,71.7608,0.1,0.85,0.875,-0.615
53,0.8306,0.825,72.2408,0.1,0.85,0.85,-0.595
54,0.825,0.8111,72.7273,0.1,0.79,0.79,-0.605
55,0.8111,0.7889,73.9726,0.1,0.775,0.82,-0.59
56,0.7889,0.7806,76.0563,0.1,1.02,1.02,-0.595
57,0.7806,0.8083,76.8683,0.1,0.935,0.99,-0.595
58,0.8083,0.8417,74.2268,0.1,0.765,0.765,-0.63
59,0.8417,0.8333,71.2871,0.1,0.86,0.86,-0.595
60,0.8333,0.8306,72.0,0.1,0.945,0.95,-0.57
61,0.8306,0.8056,72.2408,0.1,1.02,1.02,-0.535
62,0.8056,0.7778,74.4828,0.1,0.81,0.81,-0.605
63,0.7778,0.7972,77.1429,0.1,0.815,0.815,-0.645
64,0.7972,0.7806,75.2613,0.1,0.805,0.805,-0.585
65,0.7806,0.7917,76.8683,0.1,0.705,0.77,-0.65
66,0.7917,0.8556,75.7895,0.1,0.775,0.83,-0.62
67,0.8556,0.8472,70.1299,0.1,0.96,0.97,-0.57
68,0.8472,0.8222,70.8197,0.1,0.955,0.995,-0.53
69,0.8222,0.7833,72.973,0.1,0.83,0.83,-0.535
70,0.7833,0.7861,76.5957,0.1,0.885,0.925,-0.515
71,0.7861,0.7861,76.3251,0.1,1.03,1.03,-0.47
72,0.7861,0.8167,76.3251,0.1,0.91,0.97,-0.455
73,0.8167,0.8111,73.4694,0.1,0.89,0.89,-0.475
74,0.8111,0.85,73.9726,0.1,0.985,1.0,-0.5
75,0.85,0.8333,70.5882,0.1,1.045,1.045,-0.475
76,0.8333,0.8111,72.0,0.1,0.915,0.925,-0.495
77,0.8111,0.7833,73.9726,0.1,0.85,0.85,-0.545
78,0.7833,0.7722,76.5957,0.1,0.91,0.91,-0.555
79,0.7722,0.7861,77.6978,0.1,0.99,0.99,-0.53
80,0.7861,0.8028,76.3251,0.1,0.875,0.875,-0.535
81,0.8028,0.8417,74.7405,0.1,0.825,0.885,-0.545
82,0.8417,0.825,71.2871,0.1,0.905,0.925,-0.545
83,0.825,0.8111,72.7273,0.1,0.99,0.99,-0.52
84,0.8111,0.7778,73.9726,0.1,0.875,0.88,-0.515
85,0.7778,0.8,77.1429,0.1,0.835,0.855,-0.58
86,0.8,0.7889,75.0,0.1,1.065,1.12,-0.575
87,0.7889,0.8,76.0563,0.1,0.855,0.895,-0.59
88,0.8,0.8167,75.0,0.1,0.835,0.835,-0.585
89,0.8167,0.8583,73.4694,0.1,0.91,0.96,-0.56
90,0.8583,0.8306,69.9029,0.1,0.91,0.955,-0.615
91,0.8306,0.7861,72.2408,0.1,0.86,0.86,-0.565
92,0.7861,0.7833,76.3251,0.1,0.77,0.82,-0.605
93,0.7833,0.7917,76.5957,0.1,0.955,0.955,-0.59
94,0.7917,0.8306,75.7895,0.1,0.945,0.96,-0.57
95,0.8306,0.825,72.2408,0.1,0.895,0.895,-0.53
96,0.825,0.8306,72.7273,0.1,0.94,0.94,-0.595
97,0.8306,0.8306,72.2408,0.1,0.915,0.925,-0.655
98,0.8306,0.8222,72.2408,0.1,0.89,0.89,-0.635
99,0.8222,0.7972,72.973,0.1,0.76,0.76,-0.63
100,0.7972,0.7778,75.2613,0.1,0.735,0.78,-0.67
101,0.7778,0.7944,77.1429,0.1,0.895,0.895,-0.63
102,0.7944,0.8139,75.5245,0.1,0.995,1.035,-0.56
103,0.8139,0.8583,73.7201,0.1,0.955,0.955,-0.555
104,0.8583,0.8472,69.9029,0.1,0.925,0.925,-0.545
105,0.8472,0.8111,70.8197,0.1,1.01,1.01,-0.535
106,0.8111,0.7944,73.9726,0.1,0.875,0.875,-0.545
107,0.7944,0.7861,75.5245,0.1,0.92,0.92,-0.565
108,0.7861,0.7972,76.3251,0.1,0.975,0.99,-0.54
109,0.7972,0.8111,75.2613,0.1,0.9,0.97,-0.58
110,0.8111,0.825,73.9726,0.1,0.8,0.87,-0.61
111,0.825,0.8472,72.7273,0.1,0.905,0.915,-0.635
112,0.8472,0.8528,70.8197,0.1,1.005,1.08,-0.615
113,0.8528,0.8083,70.3583,0.1,0.92,0.92,-0.64
114,0.8083,0.7667,74.2268,0.1,0.89,0.89,-0.65
115,0.7667,0.8,78.2609,0.1,0.89,0.935,-0.59
116,0.8,0.8028,75.0,0.1,1.085,1.125,-0.545
117,0.8028,0.8167,74.7405,0.1,0.87,0.905,-0.59
118,0.8167,0.8361,73.4694,0.1,0.9,0.9,-0.565
119,0.8361,0.8194,71.7608,0.1,1.035,1.035,-0.56
120,0.8194,0.8278,73.2203,0.1,1.0,1.0,-0.545
121,0.8278,0.7972,72.4832,0.1,0.895,0.895,-0.58
122,0.7972,0.7806,75.2613,0.1,0.925,0.925,-0.555
123,0.7806,0.7778,76.8683,0.1,1.03,1.03,-0.525
124,0.7778,0.8139,77.1429,0.1,0.97,0.97,-0.565
125,0.8139,0.8222,73.7201,0.1,0.925,1.0,-0.56
126,0.8222,0.8639,72.973,0.1,0.94,0.94,-0.59
127,0.8639,0.8306,69.4534,0.1,0.985,0.985,-0.585
128,0.8306,0.7889,72.2408,0.1,0.89,0.89,-0.57
129,0.7889,0.7861,76.0563,0.1,0.83,0.855,-0.59
130,0.7861,0.8028,76.3251,0.1,0.915,0.92,-0.555
131,0.8028,0.7917,74.7405,0.1,0.995,0.995,-0.52
132,0.7917,0.8194,75.7895,0.1,0.865,0.865,-0.555
133,0.8194,0.8306,73.2203,0.1,0.85,0.865,-0.62
134,0.8306,0.8389,72.2408,0.1,0.89,0.89,-0.605
135,0.8389,0.8194,71.5232,0.1,0.965,0.965,-0.555
136,0.8194,0.7722,73.2203,0.1,0.82,0.875,-0.52
137,0.7722,0.7528,77.6978,0.1,0.805,0.82,-0.625
138,0.7528,0.7944,79.7048,0.1,0.92,0.92,-0.575
139,0.7944,0.8194,75.5245,0.1,0.87,0.87,-0.565
140,0.8194,0.8139,73.2203,0.1,0.76,0.805,-0.6
141,0.8139,0.8361,73.7201,0.1,0.82,0.82,-0.63
142,0.8361,0.8222,71.7608,0.1,0.9,0.975,-0.615
143,0.8222,0.7833,72.973,0.1,0.875,0.875,-0.585
144,0.7833,0.7444,76.5957,0.1,0.78,0.8,-0.62
145,0.7444,0.8306,80.597,0.1,0.84,0.84,-0.625
146,0.8306,0.7806,72.2408,0.1,0.965,0.965,-0.62
147,0.7806,0.8306,76.8683,0.1,0.88,0.91,-0.635
148,0.8306,0.8639,72.2408,0.1,0.81,0.815,-0.645
149,0.8639,0.8222,69.4534,0.1,0.91,0.91,-0.605
150,0.8222,0.8028,72.973,0.1,0.85,0.89,-0.57
151,0.8028,0.7778,74.7405,0.1,0.86,0.88,-0.6
152,0.7778,0.7861,77.1429,0.1,0.86,0.86,-0.615
153,0.7861,0.8,76.3251,0.1,0.92,0.98,-0.605
154,0.8,0.7972,75.0,0.1,0.935,0.935,-0.555
155,0.7972,0.8139,75.2613,0.1,0.855,0.855,-0.575
156,0.8139,0.8472,73.7201,0.1,0.85,0.85,-0.595
157,0.8472,0.825,70.8197,0.1,0.96,0.96,-0.545
158,0.825,0.775,72.7273,0.1,0.795,0.795,-0.6
159,0.775,0.7611,77.4194,0.1,0.825,0.825,-0.675
160,0.7611,0.7806,78.8321,0.1,0.94,0.955,-0.59
161,0.7806,0.7722,76.8683,0.1,0.71,0.745,-0.64
162,0.7722,0.825,77.6978,0.1,0.72,0.72,-0.675
163,0.825,0.8278,72.7273,0.1,0.775,0.785,-0.645
164,0.8278,0.7972,72.4832,0.1,0.895,0.965,-0.62
165,0.7972,0.7861,75.2613,0.1,0.795,0.845,-0.585
166,0.7861,0.7889,76.3251,0.1,0.735,0.735,-0.65
167,0.7889,0.7778,76.0563,0.1,0.84,0.84,-0.65
168,0.7778,0.7611,77.1429,0.1,0.92,0.92,-0.585
169,0.7611,0.7861,78.8321,0.1,0.87,0.87,-0.575
170,0.7861,0.8194,76.3251,0.1,0.875,0.875,-0.575
171,0.8194,0.8472,73.2203,0.1,0.905,0.905,-0.545
172,0.8472,0.8083,70.8197,0.1,0.91,0.91,-0.57
173,0.8083,0.7694,74.2268,0.1,0.855,0.855,-0.6
174,0.7694,0.7778,77.9783,0.1,0.815,0.815,-0.65
175,0.7778,0.7917,77.1429,0.1,0.94,0.94,-0.565
176,0.7917,0.7861,75.7895,0.1,0.9,0.9,-0.575
177,0.7861,0.7972,76.3251,0.1,0.78,0.8,-0.615
178,0.7972,0.8194,75.2613,0.1,0.815,0.835,-0.62
179,0.8194,0.8194,73.2203,0.1,0.975,0.975,-0.515
180,0.8194,0.8056,73.2203,0.1,0.9,0.9,-0.545
181,0.8056,0.7722,74.4828,0.1,0.805,0.805,-0.59
182,0.7722,0.775,77.6978,0.1,0.845,0.845,-0.59
183,0.775,0.7722,77.4194,0.1,0.965,0.965,-0.515
184,0.7722,0.8056,77.6978,0.1,0.86,0.86,-0.555
185,0.8056,0.8111,74.4828,0.1,0.775,0.805,-0.605
186,0.8111,0.8222,73.9726,0.1,0.885,0.885,-0.55
187,0.8222,0.8,72.973,0.1,0.915,0.935,-0.485
188,0.8,0.7694,75.0,0.1,0.81,0.835,-0.505
189,0.7694,0.7778,77.9783,0.1,0.835,0.835,-0.56
190,0.7778,0.775,77.1429,0.1,0.94,0.94,-0.53
191,0.775,0.7833,77.4194,0.1,0.92,0.97,-0.46
192,0.7833,0.7861,76.5957,0.1,0.87,0.935,-0.515
193,0.7861,0.8306,76.3251,0.1,0.78,0.78,-0.565
194,0.8306,0.8194,72.2408,0.1,0.85,0.89,-0.565
195,0.8194,0.7833,73.2203,0.1,0.965,0.965,-0.485
196,0.7833,0.7528,76.5957,0.1,0.895,0.97,-0.49
197,0.7528,0.7722,79.7048,0.1,0.845,0.845,-0.565
198,0.7722,0.7833,77.6978,0.1,0.975,0.975,-0.535
199,0.7833,0.7917,76.5957,0.1,0.835,0.84,-0.595
200,0.7917,0.8111,75.7895,0.1,0.86,0.87,-0.58
201,0.8111,0.8278,73.9726,0.1,0.83,0.83,-0.59
202,0.8278,0.8278,72.4832,0.1,0.94,0.94,-0.49
203,0.8278,0.8028,72.4832,0.1,0.87,0.87,-0.485
204,0.8028,0.7694,74.7405,0.1,0.795,0.795,-0.565
205,0.7694,0.7694,77.9783,0.1,0.9,0.9,-0.495
206,0.7694,0.8,77.9783,0.1,0.9,0.965,-0.485
207,0.8,0.8194,75.0,0.1,0.755,0.81,-0.56
208,0.8194,0.8361,73.2203,0.1,0.825,0.825,-0.595
209,0.8361,0.8389,71.7608,0.1,0.835,0.915,-0.585
210,0.8389,0.8,71.5232,0.1,0.85,0.9,-0.515
211,0.8,0.7944,75.0,0.1,0.75,0.805,-0.53
212,0.7944,0.8028,75.5245,0.1,0.745,0.745,-0.57
213,0.8028,0.7861,74.7405,0.1,0.835,0.835,-0.555
214,0.7861,0.7889,76.3251,0.1,0.91,0.97,-0.515
215,0.7889,0.8333,76.0563,0.1,0.86,0.875,-0.515
216,0.8333,0.8472,72.0,0.1,0.885,0.885,-0.56
217,0.8472,0.8389,70.8197,0.1,0.94,0.94,-0.51
218,0.8389,0.7889,71.5232,0.1,0.96,1.015,-0.47
219,0.7889,0.7583,76.0563,0.1,0.75,0.785,-0.55
220,0.7583,0.7972,79.1209,0.1,0.805,0.805,-0.565
221,0.7972,0.8056,75.2613,0.1,0.885,0.89,-0.55
222,0.8056,0.8139,74.4828,0.1,0.77,0.77,-0.6
223,0.8139,0.8194,73.7201,0.1,0.76,0.8,-0.655
224,0.8194,0.8278,73.2203,0.1,0.92,0.92,-0.56
225,0.8278,0.8056,72.4832,0.1,0.91,0.91,-0.51
226,0.8056,0.7944,74.4828,0.1,0.815,0.815,-0.56
227,0.7944,0.7778,75.5245,0.1,0.805,0.805,-0.585
228,0.7778,0.7694,77.1429,0.1,0.95,1.02,-0.55
229,0.7694,0.825,77.9783,0.1,0.875,0.89,-0.555
230,0.825,0.5222,72.7273,0.1,0.78,0.78,-0.59
231,0.5222,0.9389,114.8936,0.1,1.015,1.015,-0.52
232,0.9389,0.8444,63.9053,0.1,0.88,0.91,-0.515
233,0.8444,0.8167,71.0526,0.1,0.94,0.94,-0.58
234,0.8167,0.775,73.4694,0.1,0.78,0.78,-0.645
235,0.775,0.8194,77.4194,0.1,0.765,0.8,-0.65
236,0.8194,0.8111,73.2203,0.1,0.955,0.955,-0.565
237,0.8111,0.8111,73.9726,0.1,0.87,0.925,-0.565
238,0.8111,0.8472,73.9726,0.1,0.86,0.86,-0.535
239,0.8472,0.8667,70.8197,0.1,0.925,0.925,-0.505
240,0.8667,0.8139,69.2308,0.1,0.97,1.035,-0.54
241,0.8139,0.7694,73.7201,0.1,0.87,0.87,-0.54
242,0.7694,0.7889,77.9783,0.1,0.835,0.855,-0.58
243,0.7889,0.7944,76.0563,0.1,0.925,0.925,-0.53
244,0.7944,0.8278,75.5245,0.1,0.95,0.95,-0.54
245,0.8278,0.8306,72.4832,0.1,0.825,0.825,-0.55
246,0.8306,0.8306,72.2408,0.1,0.82,0.82,-0.605
247,0.8306,0.85,72.2408,0.1,0.875,0.935,-0.555
248,0.85,0.8139,70.5882,0.1,0.885,0.94,-0.555
249,0.8139,0.775,73.7201,0.1,0.825,0.825,-0.58
250,0.775,0.7944,77.4194,0.1,0.875,0.875,-0.57
251,0.7944,0.8194,75.5245,0.1,1.08,1.08,-0.49
252,0.8194,0.8417,73.2203,0.1,0.915,0.915,-0.53
253,0.8417,0.8611,71.2871,0.1,0.795,0.795,-0.615
254,0.8611,0.8333,69.6774,0.1,0.765,0.84,-0.62
255,0.8333,0.7917,72.0,0.1,0.94,1.025,-0.62
256,0.7917,0.7972,75.7895,0.1,0.92,0.92,-0.545
257,0.7972,0.7889,75.2613,0.1,0.795,0.795,-0.61
258,0.7889,0.6083,76.0563,0.1,0.88,0.88,-0.61
259,0.6083,0.9611,98.6301,0.1,0.99,0.99,-0.605
260,0.9611,0.8333,62.4277,0.1,0.84,0.84,-0.555
261,0.8333,0.8389,72.0,0.1,0.76,0.76,-0.655
262,0.8389,0.8306,71.5232,0.1,0.815,0.91,-0.59
263,0.8306,0.7833,72.2408,0.1,0.895,0.94,-0.56
264,0.7833,0.75,76.5957,0.1,0.85,0.85,-0.56
265,0.75,0.8028,80.0,0.1,0.775,0.82,-0.61
266,0.8028,0.8111,74.7405,0.1,0.92,0.92,-0.56
267,0.8111,0.825,73.9726,0.1,0.89,0.965,-0.56
268,0.825,0.8083,72.7273,0.1,0.745,0.785,-0.61
269,0.8083,0.825,74.2268,0.1,0.805,0.805,-0.65
270,0.825,0.8,72.7273,0.1,0.93,0.93,-0.59
271,0.8,0.7917,75.0,0.1,0.895,0.895,-0.595
272,0.7917,0.7667,75.7895,0.1,0.87,0.875,-0.62
273,0.7667,0.7944,78.2609,0.1,0.81,0.81,-0.655
274,0.7944,0.8417,75.5245,0.1,0.885,0.885,-0.635
275,0.8417,0.8389,71.2871,0.1,0.79,0.79,-0.68
276,0.8389,0.8306,71.5232,0.1,0.67,0.69,-0.695
277,0.8306,0.8139,72.2408,0.1,0.705,0.79,-0.69
278,0.8139,0.7917,73.7201,0.1,0.895,0.895,-0.6
279,0.7917,0.7889,75.7895,0.1,0.785,0.815,-0.61
280,0.7889,0.7972,76.0563,0.1,0.865,0.865,-0.665
281,0.7972,0.8083,75.2613,0.1,0.915,0.915,-0.66
282,0.8083,0.8333,74.2268,0.1,0.865,0.88,-0.61
283,0.8333,0.8472,72.0,0.1,0.73,0.75,-0.615
284,0.8472,0.8361,70.8197,0.1,0.865,0.875,-0.66
285,0.8361,0.8083,71.7608,0.1,0.89,0.925,-0.56
286,0.8083,0.7833,74.2268,0.1,0.89,0.91,-0.57
287,0.7833,0.7861,76.5957,0.1,0.77,0.77,-0.605
288,0.7861,0.8389,76.3251,0.1,0.82,0.82,-0.665
289,0.8389,0.8583,71.5232,0.1,0.88,0.91,-0.57
290,0.8583,0.8444,69.9029,0.1,0.81,0.88,-0.585
291,0.8444,0.8389,71.0526,0.1,0.8,0.8,-0.565
292,0.8389,0.8361,71.5232,0.1,0.865,0.88,-0.605
293,0.8361,0.8139,71.7608,0.1,0.915,0.915,-0.565
294,0.8139,0.7694,73.7201,0.1,0.785,0.785,-0.665
295,0.7694,0.8056,77.9783,0.1,0.815,0.815,-0.655
296,0.8056,0.8361,74.4828,0.1,0.88,0.88,-0.585
297,0.8361,0.8528,71.7608,0.1,0.835,0.85,-0.54
298,0.8528,0.8389,70.3583,0.1,0.795,0.795,-0.57
299,0.8389,0.8306,71.5232,0.1,0.93,0.93,-0.58
300,0.8306,0.7917,72.2408,0.1,1.14,1.14,-0.515
301,0.7917,0.8,75.7895,0.1,0.83,0.83,-0.585
302,0.8,0.8028,75.0,0.1,0.825,0.825,-0.655
303,0.8028,0.8083,74.7405,0.1,0.925,0.925,-0.575
304,0.8083,0.8278,74.2268,0.1,0.875,0.875,-0.595
305,0.8278,0.8444,72.4832,0.1,0.775,0.775,-0.62
306,0.8444,0.8361,71.0526,0.1,0.89,0.89,-0.62
307,0.8361,0.7944,71.7608,0.1,0.89,0.96,-0.56
308,0.7944,0.7833,75.5245,0.1,0.855,0.855,-0.57
309,0.7833,0.7917,76.5957,0.1,0.88,0.91,-0.555
310,0.7917,0.8278,75.7895,0.1,1.015,1.015,-0.5
311,0.8278,0.8444,72.4832,0.1,0.955,0.955,-0.49
312,0.8444,0.8194,71.0526,0.1,0.875,0.875,-0.52
313,0.8194,0.8472,73.2203,0.1,0.935,0.935,-0.52
314,0.8472,0.8083,70.8197,0.1,0.99,0.99,-0.505
315,0.8083,0.7778,74.2268,0.1,0.84,0.88,-0.545
316,0.7778,0.7917,77.1429,0.1,0.86,0.86,-0.555
317,0.7917,0.8111,75.7895,0.1,1.055,1.095,-0.485
318,0.8111,0.8194,73.9726,0.1,1.015,1.015,-0.485
319,0.8194,0.8639,73.2203,0.1,0.94,0.94,-0.495
320,0.8639,0.8389,69.4534,0.1,0.825,0.87,-0.555
321,0.8389,0.8,71.5232,0.1,0.975,0.975,-0.51
322,0.8,0.8056,75.0,0.1,0.965,0.965,-0.495
323,0.8056,0.7722,74.4828,0.1,0.835,0.835,-0.565
324,0.7722,0.8139,77.6978,0.1,0.87,0.915,-0.51
325,0.8139,0.8278,73.7201,0.1,1.185,1.245,-0.405
326,0.8278,0.8417,72.4832,0.1,0.98,0.98,-0.445
327,0.8417,0.8389,71.2871,0.1,0.95,0.95,-0.51
328,0.8389,0.8556,71.5232,0.1,0.795,0.8,-0.595
329,0.8556,0.7972,70.1299,0.1,0.93,0.945,-0.57
330,0.7972,0.7722,75.2613,0.1,0.895,0.895,-0.525
331,0.7722,0.775,77.6978,0.1,0.83,0.83,-0.545
332,0.775,0.8222,77.4194,0.1,0.86,0.9,-0.52
333,0.8222,0.8444,72.973,0.1,0.975,1.04,-0.525
334,0.8444,0.8278,71.0526,0.1,0.87,0.87,-0.49
335,0.8278,0.8222,72.4832,0.1,0.82,0.82,-0.53
336,0.8222,0.8111,72.973,0.1,0.83,0.885,-0.59
337,0.8111,0.8111,73.9726,0.1,0.91,0.995,-0.51
338,0.8111,0.7778,73.9726,0.1,0.87,0.87,-0.52
339,0.7778,0.7806,77.1429,0.1,0.825,0.825,-0.565
340,0.7806,0.8194,76.8683,0.1,0.91,0.91,-0.54
341,0.8194,0.8278,73.2203,0.1,0.995,0.995,-0.51
342,0.8278,0.5472,72.4832,0.1,0.785,0.785,-0.555
343,0.5472,0.975,109.6447,0.1,0.83,0.905,-0.53
344,0.975,0.8,61.5385,0.1,0.85,0.85,-0.595
345,0.8,0.7722,75.0,0.1,0.945,0.945,-0.585
346,0.7722,0.7917,77.6978,0.1,0.845,0.845,-0.54
347,0.7917,0.8056,75.7895,0.1,0.825,0.825,-0.585
348,0.8056,0.8056,74.4828,0.1,0.935,0.935,-0.605
349,0.8056,0.8111,74.4828,0.1,0.955,0.955,-0.57
350,0.8111,0.8,73.9726,0.1,0.72,0.735,-0.64
351,0.8,0.8139,75.0,0.1,0.82,0.84,-0.62
352,0.8139,0.7833,73.7201,0.1,0.925,0.96,-0.55
353,0.7833,0.7694,76.5957,0.1,0.835,0.87,-0.565
354,0.7694,0.7806,77.9783,0.1,0.855,0.855,-0.625
355,0.7806,0.825,76.8683,0.1,0.95,0.95,-0.555
356,0.825,0.8278,72.7273,0.1,0.86,0.86,-0.565
357,0.8278,0.8194,72.4832,0.1,0.825,0.825,-0.575
358,0.8194,0.825,73.2203,0.1,0.96,0.96,-0.57
359,0.825,0.7889,72.7273,0.1,1.015,1.02,-0.47
360,0.7889,0.7917,76.0563,0.1,0.94,0.985,-0.52
361,0.7917,0.8,75.7895,0.1,0.795,0.815,-0.59
362,0.8,0.8028,75.0,0.1,0.88,0.88,-0.56
363,0.8028,0.8333,74.7405,0.1,0.91,0.91,-0.56
364,0.8333,0.8556,72.0,0.1,0.825,0.825,-0.58
365,0.8556,0.8306,70.1299,0.1,0.88,0.92,-0.565
366,0.8306,0.7944,72.2408,0.1,1.055,1.08,-0.485
367,0.7944,0.7833,75.5245,0.1,0.82,0.82,-0.44
368,0.7833,0.7694,76.5957,0.1,0.605,0.605,-0.49
369,0.7694,0.8167,77.9783,0.1,0.655,0.655,-0.535
370,0.8167,0.825,73.4694,0.1,1.125,1.205,-0.55
371,0.825,0.8194,72.7273,0.1,0.89,1.02,-0.56
372,0.8194,0.825,73.2203,0.1,0.795,0.795,-0.57
373,0.825,0.8361,72.7273,0.1,1.005,1.005,-0.525
374,0.8361,0.7861,71.7608,0.1,0.985,1.035,-0.52
375,0.7861,0.7583,76.3251,0.1,0.9,0.9,-0.575
376,0.7583,0.7972,79.1209,0.1,0.89,0.89,-0.58
377,0.7972,0.7944,75.2613,0.1,1.005,1.005,-0.565
378,0.7944,0.8444,75.5245,0.1,1.035,1.035,-0.545
379,0.8444,0.8278,71.0526,0.1,0.845,0.87,-0.565
380,0.8278,0.8306,72.4832,0.1,0.93,0.97,-0.54
381,0.8306,0.8056,72.2408,0.1,1.03,1.045,-0.53
382,0.8056,0.7806,74.4828,0.1,0.89,0.89,-0.585
383,0.7806,0.7778,76.8683,0.1,0.865,0.865,-0.59
384,0.7778,0.7944,77.1429,0.1,0.975,0.975,-0.56
385,0.7944,0.8278,75.5245,0.1,1.0,1.06,-0.48
386,0.8278,0.825,72.4832,0.1,0.925,0.925,-0.515
387,0.825,0.8472,72.7273,0.1,0.925,0.925,-0.515
388,0.8472,0.8056,70.8197,0.1,0.98,1.025,-0.505
389,0.8056,0.7806,74.4828,0.1,0.89,0.975,-0.51
390,0.7806,0.7806,76.8683,0.1,0.88,0.88,-0.535
391,0.7806,0.8,76.8683,0.1,0.9,0.92,-0.575
392,0.8,0.8111,75.0,0.1,1.06,1.06,-0.465
393,0.8111,0.7944,73.9726,0.1,1.3,1.3,-0.45
394,0.7944,0.8,75.5245,0.1,0.985,0.985,-0.47
395,0.8,0.7889,75.0,0.1,0.87,0.87,-0.515
396,0.7889,0.7778,76.0563,0.1,0.825,0.855,-0.56
397,0.7778,0.7417,77.1429,0.1,0.84,0.84,-0.565
398,0.7417,0.7444,80.8989,0.1,0.905,0.905,-0.52
399,0.7444,0.7472,80.597,0.1,0.95,0.95,-0.5
400,0.7472,0.7917,80.2974,0.1,0.945,0.945,-0.5
401,0.7917,0.7917,75.7895,0.1,0.955,0.975,-0.495
402,0.7917,0.7917,75.7895,0.1,0.89,0.89,-0.515
403,0.7917,0.7611,75.7895,0.1,0.83,0.865,-0.585
404,0.7611,0.7806,78.8321,0.1,0.815,0.835,-0.62
405,0.7806,0.7556,76.8683,0.1,0.865,0.865,-0.575
406,0.7556,0.7722,79.4118,0.1,0.87,0.87,-0.5
407,0.7722,0.775,77.6978,0.1,0.85,0.85,-0.5
408,0.775,0.7889,77.4194,0.1,0.875,0.875,-0.585
409,0.7889,0.8444,76.0563,0.1,0.82,0.82,-0.61
410,0.8444,0.8444,71.0526,0.1,0.69,0.72,-0.635
411,0.8444,0.8167,71.0526,0.1,0.63,0.68,-0.725
412,0.8167,0.7833,73.4694,0.1,0.715,0.745,-0.65
