beat_index,RR_prev(s),RR_next(s),Heart_Rate(bpm),R_amp,QRS_max,QRS_min
58,0.8083,0.8417,74.2268,1.036,1.036,-0.2337
59,0.8417,0.8333,71.2871,1.099,1.099,-0.22
60,0.8333,0.8306,72.0,1.1349,1.1349,-0.2525
61,0.8306,0.8056,72.2408,1.2899,1.2899,-0.2265
62,0.8056,0.7778,74.4828,1.0267,1.0267,-0.2223
63,0.7778,0.7972,77.1429,1.1001,1.1001,-0.2482
64,0.7972,0.7806,75.2613,1.0554,1.0554,-0.221
65,0.7806,0.7917,76.8683,1.0438,1.0601,-0.2317
66,0.7917,0.8556,75.7895,1.0673,1.0673,-0.2214
67,0.8556,0.8472,70.1299,1.1846,1.1846,-0.2445
68,0.8472,0.8222,70.8197,1.181,1.181,-0.2404
69,0.8222,0.7833,72.973,1.0032,1.0032,-0.2406
70,0.7833,0.7861,76.5957,1.0605,1.0605,-0.2211
71,0.7861,0.7861,76.3251,1.1362,1.1362,-0.2225
72,0.7861,0.8167,76.3251,1.054,1.054,-0.237
73,0.8167,0.8111,73.4694,1.0414,1.0414,-0.2317
74,0.8111,0.85,73.9726,1.1438,1.1438,-0.2334
75,0.85,0.8333,70.5882,1.1214,1.1214,-0.239
76,0.8333,0.8111,72.0,1.0607,1.0607,-0.2451
77,0.8111,0.7833,73.9726,1.0024,1.0024,-0.2321
78,0.7833,0.7722,76.5957,1.0692,1.0692,-0.2299
79,0.7722,0.7861,77.6978,1.1152,1.1152,-0.2301
80,0.7861,0.8028,76.3251,1.0205,1.0205,-0.2383
81,0.8028,0.8417,74.7405,1.0607,1.0665,-0.233
82,0.8417,0.825,71.2871,1.1171,1.1171,-0.2326
83,0.825,0.8111,72.7273,1.1639,1.1639,-0.2414
84,0.8111,0.7778,73.9726,1.0415,1.0415,-0.2283
85,0.7778,0.8,77.1429,1.0569,1.0569,-0.2261
86,0.8,0.7889,75.0,1.3943,1.3943,-0.2392
87,0.7889,0.8,76.0563,1.0843,1.0843,-0.2463
88,0.8,0.8167,75.0,1.0647,1.0647,-0.2369
89,0.8167,0.8583,73.4694,1.1718,1.1874,-0.2268
90,0.8583,0.8306,69.9029,1.1451,1.1451,-0.3034
91,0.8306,0.7861,72.2408,1.0664,1.0692,-0.2332
92,0.7861,0.7833,76.3251,1.0477,1.0477,-0.2174
93,0.7833,0.7917,76.5957,1.177,1.177,-0.2357
94,0.7917,0.8306,75.7895,1.1646,1.1646,-0.241
95,0.8306,0.825,72.2408,1.0443,1.0443,-0.2378
96,0.825,0.8306,72.7273,1.1702,1.1702,-0.2454
97,0.8306,0.8306,72.2408,1.2053,1.2053,-0.2757
98,0.8306,0.8222,72.2408,1.1492,1.1492,-0.255
99,0.8222,0.7972,72.973,1.0173,1.0173,-0.2512
100,0.7972,0.7778,75.2613,1.0182,1.0182,-0.2701
101,0.7778,0.7944,77.1429,1.109,1.109,-0.2528
102,0.7944,0.8139,75.5245,1.2752,1.2752,-0.2549
103,0.8139,0.8583,73.7201,1.1629,1.1629,-0.2525
104,0.8583,0.8472,69.9029,1.1112,1.1112,-0.2294
105,0.8472,0.8111,70.8197,1.1841,1.1841,-0.2398
106,0.8111,0.7944,73.9726,1.0564,1.0564,-0.2449
107,0.7944,0.7861,75.5245,1.0855,1.0855,-0.2338
108,0.7861,0.7972,76.3251,1.1403,1.1403,-0.2478
109,0.7972,0.8111,75.2613,1.1315,1.1573,-0.2662
110,0.8111,0.825,73.9726,1.101,1.1206,-0.26
111,0.825,0.8472,72.7273,1.1828,1.1828,-0.2536
112,0.8472,0.8528,70.8197,1.3475,1.3778,-0.2652
113,0.8528,0.8083,70.3583,1.1836,1.1836,-0.2745
114,0.8083,0.7667,74.2268,1.1849,1.1849,-0.247
115,0.7667,0.8,78.2609,1.1178,1.1178,-0.2239
116,0.8,0.8028,75.0,1.3324,1.3324,-0.2454
117,0.8028,0.8167,74.7405,1.0634,1.0634,-0.2558
118,0.8167,0.8361,73.4694,1.1403,1.1403,-0.223
119,0.8361,0.8194,71.7608,1.2252,1.2252,-0.2482
120,0.8194,0.8278,73.2203,1.1547,1.1547,-0.2484
121,0.8278,0.7972,72.4832,1.0927,1.0927,-0.2558
122,0.7972,0.7806,75.2613,1.1014,1.1014,-0.2314
123,0.7806,0.7778,76.8683,1.2024,1.2024,-0.2418
124,0.7778,0.8139,77.1429,1.1205,1.1205,-0.2621
125,0.8139,0.8222,73.7201,1.2311,1.2422,-0.2439
126,0.8222,0.8639,72.973,1.1559,1.1559,-0.2286
127,0.8639,0.8306,69.4534,1.1839,1.1839,-0.255
128,0.8306,0.7889,72.2408,1.0792,1.0792,-0.243
129,0.7889,0.7861,76.0563,1.0431,1.0431,-0.2351
130,0.7861,0.8028,76.3251,1.1303,1.1303,-0.2299
131,0.8028,0.7917,74.7405,1.1411,1.1411,-0.2403
132,0.7917,0.8194,75.7895,1.0478,1.0478,-0.2457
133,0.8194,0.8306,73.2203,1.1335,1.1335,-0.2443
134,0.8306,0.8389,72.2408,1.1105,1.1105,-0.2387
135,0.8389,0.8194,71.5232,1.1134,1.1134,-0.2622
136,0.8194,0.7722,73.2203,1.0276,1.0305,-0.2248
137,0.7722,0.7528,77.6978,1.0396,1.0396,-0.2635
138,0.7528,0.7944,79.7048,1.1043,1.1043,-0.22
139,0.7944,0.8194,75.5245,1.0843,1.0843,-0.2429
140,0.8194,0.8139,73.2203,1.0342,1.0342,-0.2451
141,0.8139,0.8361,73.7201,1.0825,1.0825,-0.246
142,0.8361,0.8222,71.7608,1.2098,1.2328,-0.2508
143,0.8222,0.7833,72.973,1.04,1.04,-0.2357
144,0.7833,0.7444,76.5957,1.047,1.047,-0.2362
145,0.7444,0.8306,80.597,1.1032,1.1032,-0.224
146,0.8306,0.7806,72.2408,1.2674,1.2674,-0.2479
147,0.7806,0.8306,76.8683,1.233,1.233,-0.2463
148,0.8306,0.8639,72.2408,1.127,1.127,-0.2274
149,0.8639,0.8222,69.4534,1.1517,1.1517,-0.2318
150,0.8222,0.8028,72.973,1.0924,1.0993,-0.2419
151,0.8028,0.7778,74.7405,1.1582,1.1582,-0.2483
152,0.7778,0.7861,77.1429,1.0457,1.0457,-0.2374
153,0.7861,0.8,76.3251,1.1537,1.1697,-0.2599
154,0.8,0.7972,75.0,1.1228,1.1228,-0.2381
155,0.7972,0.8139,75.2613,1.0547,1.0547,-0.2284
156,0.8139,0.8472,73.7201,1.0716,1.0716,-0.2405
157,0.8472,0.825,70.8197,1.154,1.154,-0.2282
158,0.825,0.775,72.7273,0.9805,1.0014,-0.2384
159,0.775,0.7611,77.4194,1.0413,1.0413,-0.28
160,0.7611,0.7806,78.8321,1.2182,1.2182,-0.2265
161,0.7806,0.7722,76.8683,0.9668,0.9668,-0.2406
162,0.7722,0.825,77.6978,1.0529,1.0529,-0.2396
163,0.825,0.8278,72.7273,1.086,1.086,-0.225
164,0.8278,0.7972,72.4832,1.2324,1.2324,-0.2467
165,0.7972,0.7861,75.2613,1.1499,1.1558,-0.2277
166,0.7861,0.7889,76.3251,1.0417,1.0417,-0.2235
167,0.7889,0.7778,76.0563,1.0593,1.0593,-0.2476
168,0.7778,0.7611,77.1429,1.1071,1.1071,-0.2354
169,0.7611,0.7861,78.8321,1.0863,1.0863,-0.2212
170,0.7861,0.8194,76.3251,1.1169,1.1169,-0.2249
171,0.8194,0.8472,73.2203,1.1432,1.1432,-0.2269
172,0.8472,0.8083,70.8197,1.1163,1.1163,-0.2448
173,0.8083,0.7694,74.2268,1.1114,1.1114,-0.2372
174,0.7694,0.7778,77.9783,1.0465,1.0465,-0.2389
175,0.7778,0.7917,77.1429,1.1514,1.1514,-0.225
176,0.7917,0.7861,75.7895,1.0639,1.0639,-0.2503
177,0.7861,0.7972,76.3251,1.0592,1.0592,-0.24
178,0.7972,0.8194,75.2613,1.0867,1.0867,-0.2366
179,0.8194,0.8194,73.2203,1.1595,1.1595,-0.2212
180,0.8194,0.8056,73.2203,1.0787,1.0787,-0.2453
181,0.8056,0.7722,74.4828,1.0039,1.0039,-0.2339
182,0.7722,0.775,77.6978,1.0452,1.0452,-0.2392
183,0.775,0.7722,77.4194,1.093,1.093,-0.2249
184,0.7722,0.8056,77.6978,1.0109,1.0109,-0.2344
185,0.8056,0.8111,74.4828,1.0498,1.0498,-0.233
186,0.8111,0.8222,73.9726,1.0961,1.0961,-0.2139
187,0.8222,0.8,72.973,1.1002,1.1002,-0.2095
188,0.8,0.7694,75.0,1.0211,1.0211,-0.2146
189,0.7694,0.7778,77.9783,1.0674,1.0674,-0.2212
190,0.7778,0.775,77.1429,1.0788,1.0788,-0.2138
191,0.775,0.7833,77.4194,1.0593,1.0593,-0.2155
192,0.7833,0.7861,76.5957,1.1628,1.1628,-0.2134
193,0.7861,0.8306,76.3251,1.0126,1.0126,-0.2226
194,0.8306,0.8194,72.2408,1.1019,1.1019,-0.2186
195,0.8194,0.7833,73.2203,1.1133,1.1133,-0.2233
196,0.7833,0.7528,76.5957,1.1958,1.2166,-0.2136
197,0.7528,0.7722,79.7048,1.0318,1.0318,-0.2207
198,0.7722,0.7833,77.6978,1.1692,1.1692,-0.2124
199,0.7833,0.7917,76.5957,1.0419,1.0419,-0.2679
200,0.7917,0.8111,75.7895,1.1764,1.1764,-0.2225
201,0.8111,0.8278,73.9726,1.0913,1.0913,-0.2247
202,0.8278,0.8278,72.4832,1.101,1.101,-0.2055
203,0.8278,0.8028,72.4832,1.0446,1.0446,-0.2072
204,0.8028,0.7694,74.7405,1.0102,1.0102,-0.2181
205,0.7694,0.7694,77.9783,1.0643,1.0643,-0.1967
206,0.7694,0.8,77.9783,1.0759,1.0759,-0.2205
207,0.8,0.8194,75.0,0.9672,0.973,-0.243
208,0.8194,0.8361,73.2203,1.1471,1.1471,-0.2218
209,0.8361,0.8389,71.7608,1.1886,1.2229,-0.2212
210,0.8389,0.8,71.5232,1.0714,1.0741,-0.2125
211,0.8,0.7944,75.0,0.9841,0.9841,-0.2127
212,0.7944,0.8028,75.5245,1.0086,1.0086,-0.2045
213,0.8028,0.7861,74.7405,1.0636,1.0636,-0.2186
214,0.7861,0.7889,76.3251,1.1129,1.1234,-0.2284
215,0.7889,0.8333,76.0563,1.0766,1.0766,-0.2063
216,0.8333,0.8472,72.0,1.1116,1.1116,-0.2138
217,0.8472,0.8389,70.8197,1.079,1.079,-0.2274
218,0.8389,0.7889,71.5232,1.2205,1.2302,-0.2283
219,0.7889,0.7583,76.0563,0.9571,0.9571,-0.2352
220,0.7583,0.7972,79.1209,1.0023,1.0023,-0.2182
221,0.7972,0.8056,75.2613,1.1058,1.1058,-0.2235
222,0.8056,0.8139,74.4828,0.998,0.998,-0.2314
223,0.8139,0.8194,73.7201,1.0742,1.0742,-0.2625
224,0.8194,0.8278,73.2203,1.103,1.103,-0.2233
225,0.8278,0.8056,72.4832,1.0467,1.0467,-0.2297
226,0.8056,0.7944,74.4828,1.0004,1.0004,-0.2328
227,0.7944,0.7778,75.5245,1.0334,1.0334,-0.2165
228,0.7778,0.7694,77.1429,1.2856,1.2948,-0.2107
229,0.7694,0.825,77.9783,1.1021,1.1021,-0.2371
230,0.825,0.5222,72.7273,1.0176,1.0176,-0.2376
231,0.5222,0.9389,114.8936,1.2052,1.2052,-0.1547
232,0.9389,0.8444,63.9053,1.0837,1.0837,-0.2055
233,0.8444,0.8167,71.0526,1.1888,1.1888,-0.2444
234,0.8167,0.775,73.4694,1.0762,1.0762,-0.2563
235,0.775,0.8194,77.4194,1.0817,1.0817,-0.2318
236,0.8194,0.8111,73.2203,1.1573,1.1573,-0.21
237,0.8111,0.8111,73.9726,1.0815,1.0815,-0.2626
238,0.8111,0.8472,73.9726,1.0503,1.0503,-0.2225
239,0.8472,0.8667,70.8197,1.0803,1.0803,-0.2092
240,0.8667,0.8139,69.2308,1.2,1.223,-0.2468
241,0.8139,0.7694,73.7201,1.0369,1.0369,-0.2282
242,0.7694,0.7889,77.9783,1.0497,1.0497,-0.2324
243,0.7889,0.7944,76.0563,1.0892,1.0892,-0.2287
244,0.7944,0.8278,75.5245,1.0758,1.083,-0.2479
245,0.8278,0.8306,72.4832,1.0293,1.0293,-0.2307
246,0.8306,0.8306,72.2408,1.0728,1.0728,-0.2349
247,0.8306,0.85,72.2408,1.1166,1.1264,-0.2267
248,0.85,0.8139,70.5882,1.1212,1.133,-0.2415
249,0.8139,0.775,73.7201,1.0071,1.0071,-0.2426
250,0.775,0.7944,77.4194,1.0498,1.0498,-0.2372
251,0.7944,0.8194,75.5245,1.2559,1.2559,-0.2247
252,0.8194,0.8417,73.2203,1.0536,1.0536,-0.2528
253,0.8417,0.8611,71.2871,1.0488,1.0488,-0.2387
254,0.8611,0.8333,69.6774,1.0652,1.0786,-0.2433
255,0.8333,0.7917,72.0,1.2234,1.259,-0.2915
256,0.7917,0.7972,75.7895,1.075,1.075,-0.2449
257,0.7972,0.7889,75.2613,1.0347,1.0347,-0.2382
258,0.7889,0.6083,76.0563,1.0882,1.0882,-0.2384
259,0.6083,0.9611,98.6301,1.1722,1.1722,-0.2571
260,0.9611,0.8333,62.4277,1.0797,1.0797,-0.209
261,0.8333,0.8389,72.0,1.0515,1.0515,-0.2381
262,0.8389,0.8306,71.5232,1.1803,1.2069,-0.2186
263,0.8306,0.7833,72.2408,1.1154,1.1154,-0.2549
264,0.7833,0.75,76.5957,1.0431,1.0431,-0.2345
265,0.75,0.8028,80.0,1.0469,1.0469,-0.2363
266,0.8028,0.8111,74.7405,1.1413,1.1413,-0.2222
267,0.8111,0.825,73.9726,1.2059,1.2283,-0.2301
268,0.825,0.8083,72.7273,1.0061,1.0061,-0.2307
269,0.8083,0.825,74.2268,1.0808,1.0808,-0.2343
270,0.825,0.8,72.7273,1.1567,1.1567,-0.225
271,0.8,0.7917,75.0,1.0946,1.0946,-0.2501
272,0.7917,0.7667,75.7895,1.1881,1.1881,-0.2301
273,0.7667,0.7944,78.2609,1.0725,1.0725,-0.2307
274,0.7944,0.8417,75.5245,1.1465,1.1465,-0.2255
275,0.8417,0.8389,71.2871,1.0914,1.0914,-0.2439
276,0.8389,0.8306,71.5232,1.0407,1.0407,-0.2376
277,0.8306,0.8139,72.2408,1.0841,1.0843,-0.2357
278,0.8139,0.7917,73.7201,1.1143,1.1143,-0.2263
279,0.7917,0.7889,75.7895,1.0236,1.0236,-0.2356
280,0.7889,0.7972,76.0563,1.235,1.235,-0.2308
281,0.7972,0.8083,75.2613,1.2634,1.2634,-0.2219
282,0.8083,0.8333,74.2268,1.1759,1.1759,-0.2365
283,0.8333,0.8472,72.0,1.0329,1.0329,-0.2315
284,0.8472,0.8361,70.8197,1.2283,1.2283,-0.2415
285,0.8361,0.8083,71.7608,1.1267,1.1267,-0.2158
286,0.8083,0.7833,74.2268,1.1358,1.1358,-0.2421
287,0.7833,0.7861,76.5957,1.0033,1.0033,-0.2236
288,0.7861,0.8389,76.3251,1.0745,1.0745,-0.244
289,0.8389,0.8583,71.5232,1.1498,1.1498,-0.2198
290,0.8583,0.8444,69.9029,1.0488,1.0535,-0.2693
291,0.8444,0.8389,71.0526,1.0443,1.0443,-0.2243
292,0.8389,0.8361,71.5232,1.1162,1.1162,-0.2589
293,0.8361,0.8139,71.7608,1.1049,1.1049,-0.2323
294,0.8139,0.7694,73.7201,1.0239,1.0239,-0.2903
295,0.7694,0.8056,77.9783,1.0655,1.0655,-0.2304
296,0.8056,0.8361,74.4828,1.1126,1.1126,-0.2327
297,0.8361,0.8528,71.7608,1.0434,1.0434,-0.2353
298,0.8528,0.8389,70.3583,1.032,1.032,-0.2373
299,0.8389,0.8306,71.5232,1.1621,1.1621,-0.2359
300,0.8306,0.7917,72.2408,1.382,1.382,-0.2353
301,0.7917,0.8,75.7895,1.0644,1.0644,-0.2369
302,0.8,0.8028,75.0,1.0944,1.0944,-0.2464
303,0.8028,0.8083,74.7405,1.171,1.171,-0.2233
304,0.8083,0.8278,74.2268,1.0861,1.0861,-0.2369
305,0.8278,0.8444,72.4832,1.0702,1.0702,-0.2399
306,0.8444,0.8361,71.0526,1.1116,1.1116,-0.2535
307,0.8361,0.7944,71.7608,1.1692,1.195,-0.2402
308,0.7944,0.7833,75.5245,1.0181,1.0181,-0.2366
309,0.7833,0.7917,76.5957,1.062,1.062,-0.2309
310,0.7917,0.8278,75.7895,1.1436,1.1436,-0.2498
311,0.8278,0.8444,72.4832,1.0815,1.0815,-0.2457
312,0.8444,0.8194,71.0526,1.0427,1.0427,-0.2266
313,0.8194,0.8472,73.2203,1.1055,1.1055,-0.2171
314,0.8472,0.8083,70.8197,1.1193,1.1193,-0.2401
315,0.8083,0.7778,74.2268,1.0717,1.0717,-0.2433
316,0.7778,0.7917,77.1429,1.0378,1.0378,-0.2325
317,0.7917,0.8111,75.7895,1.2648,1.2763,-0.2325
318,0.8111,0.8194,73.9726,1.0846,1.0846,-0.2641
319,0.8194,0.8639,73.2203,1.1212,1.1212,-0.2491
320,0.8639,0.8389,69.4534,1.0491,1.0587,-0.2292
321,0.8389,0.8,71.5232,1.1288,1.1288,-0.2255
322,0.8,0.8056,75.0,1.0801,1.0801,-0.2388
323,0.8056,0.7722,74.4828,0.9953,0.9953,-0.2669
324,0.7722,0.8139,77.6978,1.032,1.0381,-0.2258
325,0.8139,0.8278,73.7201,1.3607,1.3607,-0.2164
326,0.8278,0.8417,72.4832,1.0403,1.0403,-0.2539
327,0.8417,0.8389,71.2871,1.1715,1.1715,-0.2285
328,0.8389,0.8556,71.5232,1.0687,1.0687,-0.2199
329,0.8556,0.7972,70.1299,1.1589,1.1589,-0.2359
330,0.7972,0.7722,75.2613,1.0412,1.0412,-0.2355
331,0.7722,0.775,77.6978,0.9846,0.9854,-0.2343
332,0.775,0.8222,77.4194,1.0439,1.0439,-0.2284
333,0.8222,0.8444,72.973,1.2077,1.2114,-0.2611
334,0.8444,0.8278,71.0526,1.0081,1.0081,-0.2295
335,0.8278,0.8222,72.4832,1.0118,1.0118,-0.2131
336,0.8222,0.8111,72.973,1.0345,1.0408,-0.2646
337,0.8111,0.8111,73.9726,1.1053,1.1266,-0.2344
338,0.8111,0.7778,73.9726,1.0053,1.0053,-0.2361
339,0.7778,0.7806,77.1429,1.0245,1.0245,-0.2212
340,0.7806,0.8194,76.8683,1.0874,1.0874,-0.2251
341,0.8194,0.8278,73.2203,1.2359,1.2359,-0.2334
342,0.8278,0.5472,72.4832,0.9777,0.9777,-0.2533
343,0.5472,0.975,109.6447,1.1021,1.1042,-0.1734
344,0.975,0.8,61.5385,1.075,1.075,-0.2137
345,0.8,0.7722,75.0,1.113,1.113,-0.264
346,0.7722,0.7917,77.6978,1.0275,1.0275,-0.237
347,0.7917,0.8056,75.7895,1.0323,1.0323,-0.2405
348,0.8056,0.8056,74.4828,1.1291,1.1291,-0.2589
349,0.8056,0.8111,74.4828,1.2546,1.2546,-0.2281
350,0.8111,0.8,73.9726,1.0251,1.0251,-0.23
351,0.8,0.8139,75.0,1.1129,1.1129,-0.2235
352,0.8139,0.7833,73.7201,1.1524,1.1524,-0.2224
353,0.7833,0.7694,76.5957,1.0372,1.0372,-0.2339
354,0.7694,0.7806,77.9783,1.0381,1.0381,-0.271
355,0.7806,0.825,76.8683,1.1416,1.1416,-0.2188
356,0.825,0.8278,72.7273,1.0835,1.0835,-0.2282
357,0.8278,0.8194,72.4832,1.0549,1.0549,-0.2289
358,0.8194,0.825,73.2203,1.126,1.126,-0.2764
359,0.825,0.7889,72.7273,1.1421,1.1421,-0.2309
360,0.7889,0.7917,76.0563,1.1818,1.1818,-0.2311
361,0.7917,0.8,75.7895,1.0482,1.0482,-0.2344
362,0.8,0.8028,75.0,1.1271,1.1271,-0.2102
363,0.8028,0.8333,74.7405,1.1298,1.1298,-0.2403
364,0.8333,0.8556,72.0,1.0678,1.0678,-0.2439
365,0.8556,0.8306,70.1299,1.1176,1.1176,-0.2387
366,0.8306,0.7944,72.2408,1.2097,1.2097,-0.2424
367,0.7944,0.7833,75.5245,0.9848,0.9848,-0.1947
368,0.7833,0.7694,76.5957,0.8353,0.8353,-0.1744
369,0.7694,0.8167,77.9783,0.9243,0.9243,-0.1873
370,0.8167,0.825,73.4694,1.4559,1.4855,-0.2457
371,0.825,0.8194,72.7273,1.2188,1.2744,-0.2488
372,0.8194,0.825,73.2203,1.0213,1.0213,-0.2156
373,0.825,0.8361,72.7273,1.1961,1.1961,-0.2316
374,0.8361,0.7861,71.7608,1.1431,1.1431,-0.2368
375,0.7861,0.7583,76.3251,1.0569,1.0569,-0.2389
376,0.7583,0.7972,79.1209,1.1493,1.1493,-0.2248
377,0.7972,0.7944,75.2613,1.189,1.189,-0.2341
378,0.7944,0.8444,75.5245,1.2526,1.2526,-0.2442
379,0.8444,0.8278,71.0526,1.0984,1.0984,-0.2379
380,0.8278,0.8306,72.4832,1.1523,1.1523,-0.2226
381,0.8306,0.8056,72.2408,1.1911,1.1911,-0.2391
382,0.8056,0.7806,74.4828,1.06,1.06,-0.2665
383,0.7806,0.7778,76.8683,1.0492,1.0526,-0.2351
384,0.7778,0.7944,77.1429,1.1693,1.1693,-0.2244
385,0.7944,0.8278,75.5245,1.1754,1.1754,-0.2385
386,0.8278,0.825,72.4832,1.0823,1.0823,-0.2417
387,0.825,0.8472,72.7273,1.0956,1.0956,-0.2296
388,0.8472,0.8056,70.8197,1.166,1.166,-0.2387
389,0.8056,0.7806,74.4828,1.0724,1.0845,-0.2431
390,0.7806,0.7806,76.8683,1.0439,1.0439,-0.2337
391,0.7806,0.8,76.8683,1.1287,1.1287,-0.2238
392,0.8,0.8111,75.0,1.1993,1.1993,-0.1967
393,0.8111,0.7944,73.9726,1.4391,1.4391,-0.2379
394,0.7944,0.8,75.5245,1.1069,1.1069,-0.2308
395,0.8,0.7889,75.0,1.0668,1.0668,-0.2393
396,0.7889,0.7778,76.0563,1.1,1.1,-0.2404
397,0.7778,0.7417,77.1429,1.0215,1.0215,-0.2462
398,0.7417,0.7444,80.8989,1.0375,1.0375,-0.2404
399,0.7444,0.7472,80.597,1.039,1.039,-0.2211
400,0.7472,0.7917,80.2974,1.0564,1.0564,-0.2489
401,0.7917,0.7917,75.7895,1.1194,1.1194,-0.2465
402,0.7917,0.7917,75.7895,1.0466,1.0466,-0.252
403,0.7917,0.7611,75.7895,1.113,1.113,-0.2588
404,0.7611,0.7806,78.8321,1.0672,1.0672,-0.2399
405,0.7806,0.7556,76.8683,1.0378,1.0378,-0.2569
406,0.7556,0.7722,79.4118,0.9731,0.9731,-0.2466
407,0.7722,0.775,77.6978,0.9602,0.9602,-0.2381
408,0.775,0.7889,77.4194,1.0744,1.0744,-0.2574
409,0.7889,0.8444,76.0563,1.053,1.053,-0.2642
410,0.8444,0.8444,71.0526,1.0073,1.0073,-0.2434
411,0.8444,0.8167,71.0526,0.9805,0.9859,-0.2878
412,0.8167,0.7833,73.4694,1.002,1.002,-0.245
413,0.7833,0.7944,76.5957,0.9561,0.9561,-0.2928
414,0.7944,0.8306,75.5245,0.9562,0.9562,-0.2548
415,0.8306,0.8333,72.2408,1.0296,1.0296,-0.2506
416,0.8333,0.8722,72.0,1.0624,1.0624,-0.24
417,0.8722,0.8611,68.7898,0.9661,0.9953,-0.2777
418,0.8611,0.8444,69.6774,0.9933,0.9933,-0.2741
419,0.8444,0.7917,71.0526,1.0854,1.0854,-0.236
420,0.7917,0.7806,75.7895,1.0017,1.0017,-0.2478
421,0.7806,0.8056,76.8683,1.0504,1.0504,-0.252
422,0.8056,0.8056,74.4828,1.0025,1.0422,-0.2931
423,0.8056,0.8333,74.4828,1.0177,1.0177,-0.2371
424,0.8333,0.8611,72.0,0.9879,0.9879,-0.2579
425,0.8611,0.8444,69.6774,1.0238,1.0238,-0.2393
426,0.8444,0.7556,71.0526,0.9907,0.9907,-0.2272
427,0.7556,0.7917,79.4118,0.9587,0.9587,-0.2334
428,0.7917,0.7944,75.7895,1.0922,1.0922,-0.2762
429,0.7944,0.7444,75.5245,0.9962,0.9962,-0.2514
